charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	199.0	200.0	2	2	1	2	0	1	0	1	1	0	1	0	2	1	1	1	0	2	0	1	0	4	2	6	1	5	0	1	1	2	2	0	2	0	0	1	0	1	3
pos	200.0	201.0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
pos	201.0	202.0	1	0	0	0	0	2	1	0	2	0	0	0	0	1	0	1	2	3	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0
pos	202.0	203.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0
pos	203.0	204.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	3	3	1	2	1	1	0	0
pos	204.0	205.0	3	4	3	4	3	3	3	3	3	5	4	1	2	4	2	3	2	4	3	4	4	3	4	2	2	2	0	2	0	1	3	5	3	3	5	4	4	0	2
pos	205.0	206.0	3	1	2	3	1	1	3	1	1	1	1	1	1	1	2	2	3	1	0	1	3	1	1	2	1	3	1	1	3	3	3	2	4	1	3	1	4	1	3
pos	206.0	207.0	0	2	2	0	1	2	1	0	1	1	2	0	0	3	1	1	1	1	1	1	1	0	2	2	0	0	0	1	0	2	0	2	1	1	0	0	0	0	2
pos	207.0	208.0	2	1	2	2	1	2	2	3	3	2	3	1	2	4	2	2	1	2	3	1	2	2	2	4	1	1	2	1	1	0	2	2	2	2	4	1	2	1	0
pos	208.0	209.0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1
pos	209.0	210.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0
pos	210.0	211.0	2	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
pos	211.0	212.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
pos	212.0	213.0	0	1	2	0	1	1	1	0	1	1	1	1	0	0	3	0	1	0	0	0	0	0	0	4	0	0	2	0	1	2	2	0	0	0	0	0	0	0	0
pos	213.0	214.0	1	0	1	2	1	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	1	1	4	0	2	3	1	4	0	1	0	0	0	0	0	0	0	1
pos	214.0	215.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	1
pos	215.0	216.0	1	1	1	2	0	1	1	1	1	0	1	1	0	3	1	2	2	1	1	0	0	1	1	2	1	1	3	1	4	4	1	1	2	2	2	4	2	0	2
pos	216.0	217.0	1	0	0	0	0	2	0	0	0	0	3	4	0	0	0	0	0	1	0	0	0	0	3	2	3	0	0	0	0	1	1	0	0	0	0	0	0	1	1
pos	217.0	218.0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	2	1	2	0	0
