min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
593.0	5	5	2	4	4	3	1	1	1	2	2	1	4	2	1	2	0	3	3	4	4	1	4	6	4	12	5	7	13	4	9	2	5	3	3	5	2	3	1
594.0	3	1	3	2	3	1	2	2	3	1	4	0	7	1	1	1	1	2	1	0	1	2	1	3	3	1	3	2	4	6	2	2	2	0	1	1	3	4	3
595.0	1	3	1	3	2	1	1	2	2	1	6	5	4	4	3	3	1	2	1	0	2	2	2	1	3	6	1	4	4	3	2	2	1	2	3	3	4	2	0
596.0	5	4	1	8	3	4	0	2	4	2	3	6	3	4	1	2	0	3	2	3	2	1	3	2	1	4	2	5	2	1	4	2	6	3	3	3	4	4	1
597.0	4	2	5	5	2	3	3	3	2	2	4	6	2	2	2	2	2	4	2	1	2	2	4	4	4	5	6	7	6	0	3	2	3	2	4	4	3	2	3
598.0	5	1	3	2	4	5	2	1	2	0	1	1	6	2	3	3	0	2	3	2	1	2	1	1	1	3	1	2	5	3	2	1	6	1	3	2	3	1	2
599.0	4	2	3	4	6	4	1	2	4	0	5	1	2	1	3	3	1	2	1	1	6	1	3	2	4	10	6	6	8	1	9	4	6	2	7	5	6	1	3
600.0	3	3	5	4	3	5	5	1	1	0	2	1	4	4	3	1	3	3	4	3	3	4	2	5	5	8	8	4	8	4	8	1	4	1	2	1	4	3	7
601.0	1	4	2	1	2	6	1	1	2	1	3	0	1	3	1	1	0	7	2	4	4	5	5	4	5	11	7	11	14	1	11	2	2	2	3	4	2	2	3
602.0	4	3	6	5	3	9	5	2	4	1	0	2	4	5	2	2	3	8	1	6	3	7	3	3	7	8	5	4	6	2	8	0	1	1	1	2	0	0	5
603.0	10	2	4	9	4	7	3	2	3	2	6	3	9	6	0	6	3	6	1	4	1	3	2	4	3	7	6	6	5	0	5	3	4	2	3	2	4	1	8
604.0	4	6	9	2	4	11	6	2	5	3	3	6	4	6	4	5	3	5	4	3	3	3	4	5	5	6	6	3	10	0	5	4	5	6	5	5	6	4	8
605.0	0	2	1	3	5	3	0	0	1	1	1	5	3	0	0	0	2	3	0	4	1	3	3	6	5	5	5	6	6	1	3	1	1	0	1	1	3	3	2
606.0	2	0	4	2	3	3	1	1	2	1	1	3	1	2	1	2	0	6	1	3	1	5	7	6	3	5	4	3	5	4	3	4	4	5	3	2	8	3	4
607.0	3	2	3	2	2	5	2	2	2	2	3	0	3	3	1	3	1	6	4	4	1	2	1	3	2	7	3	6	7	1	3	3	4	3	5	4	5	3	1
608.0	8	3	5	3	11	7	0	0	1	1	5	2	4	1	1	1	2	8	1	6	3	3	3	4	3	3	5	3	6	2	1	4	2	4	4	4	4	1	2
609.0	10	6	9	6	8	8	2	4	2	5	4	3	7	4	2	1	2	9	6	5	3	1	0	2	0	4	3	7	4	2	6	4	4	4	3	3	3	3	3
610.0	1	6	2	3	4	2	5	4	1	5	7	7	1	4	5	3	4	3	1	0	0	2	5	2	6	7	7	6	5	4	4	3	7	3	3	2	4	4	1
611.0	5	9	4	7	8	10	4	8	5	9	5	8	8	2	5	6	4	5	4	5	5	4	4	7	6	12	10	14	7	4	13	5	4	6	5	6	5	5	2
612.0	10	10	5	2	5	8	6	12	2	8	9	8	4	3	9	7	6	6	5	8	6	4	6	6	5	4	11	7	8	5	4	4	7	3	5	4	7	6	2
613.0	9	7	3	7	8	5	4	6	2	5	6	7	5	2	4	7	6	6	6	2	7	10	5	4	2	9	11	14	8	5	14	7	5	5	10	6	3	3	3
614.0	13	11	4	5	4	7	5	8	2	4	8	6	6	5	8	5	3	7	4	7	4	3	7	6	2	4	13	4	11	9	4	6	8	3	2	2	9	7	3
615.0	12	5	1	7	10	14	4	7	4	4	6	6	7	3	7	10	5	8	5	6	6	0	2	4	2	3	15	8	8	5	2	6	6	5	5	8	5	2	1
616.0	2	3	6	0	5	4	4	3	1	4	3	5	4	4	2	3	3	2	2	4	4	5	3	6	5	7	10	6	4	8	6	3	6	1	1	2	3	0	7
617.0	4	3	4	3	1	6	2	2	1	1	4	7	4	4	3	4	1	2	1	2	1	6	3	4	5	6	6	5	6	4	9	4	2	0	4	0	1	1	5
618.0	0	0	5	0	3	4	1	0	1	1	0	2	2	3	2	3	2	4	0	5	4	3	4	3	1	4	4	3	3	7	6	3	4	0	4	1	1	1	6
