charge	min	max	sample1.peak.table	sample2.peak.table	sample.peak.table
pos	613.68885398101	613.689160825437	0	0	1
pos	613.8935532943792	613.893860241156	0	0	1
pos	613.9165747285255	613.9168816868129	0	0	1
pos	613.9463503970139	613.9466573701892	0	0	1
pos	614.0375281770489	614.037835195813	0	0	1
pos	614.7370078313462	614.7373151998502	0	0	2
pos	614.7388520446752	614.7391594141013	0	0	1
pos	615.1548634741396	615.1551710515713	0	0	1
pos	615.7894150349525	615.7897229296601	0	0	1
pos	615.7900308245216	615.7903387195371	0	0	1
pos	615.7940334717305	615.7943413687473	0	0	1
pos	616.392876113011	616.3931843094491	0	0	1
pos	616.8485586885746	616.848867112854	0	0	1
pos	619.2190237965949	619.2193334061069	0	0	1
pos	623.3754858907229	623.3757975784658	0	0	1
pos	624.2344649915524	624.2347771087849	0	0	1
pos	626.6937861502603	626.6940994971534	0	0	1
pos	627.1987912323156	627.1991048317112	0	0	1
pos	628.6920443590467	628.692358705069	0	0	1
pos	629.4305620596652	629.4308767749463	0	0	1
pos	632.6599282470839	632.6602445770482	0	0	1
pos	632.8829801266437	632.8832965681338	0	0	1
pos	632.9791856270178	632.9795021166107	0	0	1
pos	634.8797042045226	634.8800216443747	0	0	1
pos	637.2296048656741	637.2299234804766	0	0	1
pos	637.2299234804766	637.2302420954384	0	0	1
pos	638.3403068080296	638.3406259781831	0	0	1
pos	639.3500011114006	639.3503207864012	0	0	1
pos	640.2556416275503	640.2559617553711	0	0	1
pos	640.256602011493	640.256922139794	0	0	1
pos	641.3482083720088	641.3485290461131	0	0	1
pos	642.2345218849317	642.2348430021927	0	0	1
pos	642.2711302868618	642.2714514224269	0	0	1
pos	642.2717725581527	642.2720936940391	0	0	1
pos	642.9754451637241	642.9757666514467	0	0	1
pos	644.1792559461628	644.1795780357909	0	0	1
pos	644.2362683188295	644.2365904369638	0	0	1
pos	644.2514080452431	644.2517301709472	0	0	1
pos	644.2881314129321	644.2884535569979	0	0	1
pos	645.2820671983477	645.2823898393814	0	0	1
pos	646.293047160035	646.2933703065587	0	0	1
pos	646.6754424841524	646.6757658218737	0	0	1
pos	647.3049637448242	647.3052873973062	0	0	1
pos	649.3393965684012	649.3397212380995	0	0	1
pos	650.2796705644731	650.2799957043085	0	0	1
pos	651.1151657258287	651.1154912834115	0	0	1
pos	651.2457273723021	651.2460529951659	0	0	1
pos	651.7972401375663	651.7975660361864	0	0	1
pos	652.2138715694808	652.2141976764167	0	0	1
pos	652.2295248863264	652.229851001089	0	0	1
pos	655.2298111817402	655.2301387966457	0	0	1
pos	655.2779723307294	655.2782999697156	0	0	1
pos	656.2885338712761	656.288862015543	0	0	1
pos	658.4815678191108	658.4818970598947	0	0	1
