min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
1001.0	0	2	1	0	0	2	1	3	0	0	0	1	0	2	2	1	1	1	1	1	0	1	2	6	1	0	7	2	7	0	0	0	0	0	3	2	0	4	8
1002.0	1	2	1	2	1	1	1	2	1	0	0	2	1	0	1	0	2	0	3	0	0	1	1	5	3	4	3	8	3	2	1	0	2	0	0	0	0	5	13
1003.0	3	3	3	2	4	4	3	3	1	1	3	1	1	3	3	1	3	4	6	2	3	0	0	2	4	1	5	7	6	0	3	2	7	3	2	6	4	5	12
1004.0	0	1	0	1	1	2	4	0	1	2	3	5	0	1	1	0	2	1	0	1	0	4	0	9	0	2	8	7	1	2	0	0	2	2	3	5	1	10	12
1005.0	0	1	0	1	1	2	1	1	0	1	1	2	1	0	0	0	0	1	0	1	1	1	1	3	2	6	5	10	6	0	0	1	3	0	1	2	1	4	13
1006.0	0	1	0	0	1	2	1	2	0	1	0	2	1	0	0	0	0	1	1	0	0	2	0	6	3	3	3	5	8	2	4	1	2	1	0	4	1	4	6
1007.0	0	1	0	0	2	2	0	0	0	0	2	5	3	0	0	0	0	0	1	2	0	1	2	2	5	2	9	10	8	0	0	1	3	0	2	4	3	8	5
1008.0	1	2	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	4	1	2	3	10	0	1	1	0	0	1	0	2	1	4	21
1009.0	2	3	2	1	4	4	1	0	0	0	4	3	5	0	0	2	0	4	0	1	1	3	2	5	5	5	8	10	7	0	3	2	2	0	0	4	3	6	9
1010.0	1	0	2	0	2	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	1	2	1	13	0	11	3	11	2	1	1	2	0	0	1	0	0	6	10
1011.0	3	0	2	0	3	3	0	0	0	0	1	10	5	0	0	1	0	2	0	0	0	0	3	3	2	2	6	4	7	0	1	0	0	0	0	3	2	5	4
1012.0	5	1	6	5	0	1	1	2	2	1	0	2	1	4	3	1	2	3	2	0	1	2	4	3	8	2	1	5	3	3	0	1	0	0	1	2	0	5	6
1013.0	1	0	0	2	2	1	1	0	0	2	0	3	2	0	1	1	1	0	0	1	0	5	2	1	5	6	2	6	9	0	0	0	1	2	1	1	1	4	15
1014.0	6	1	7	1	3	1	2	2	3	2	0	1	1	2	2	1	3	2	1	2	0	6	4	4	4	0	3	6	10	3	0	0	0	1	0	3	0	2	3
