charge	min	max	01026.peak.table	01038.peak.table
pos	510.49002269643336	510.49027794144473	0	1
pos	510.4907884318503	510.4910436772446	0	1
pos	510.5395426179392	510.53979788771056	1	0
neg	510.6646400984394	510.6648954307595	0	1
pos	510.70983590768105	510.71009126259906	1	1
pos	510.79615314198327	510.7964085400599	1	0
pos	510.85387635416566	510.8541317811039	0	1
neg	510.88095232035397	510.8812077608302	1	0
neg	510.8814632014341	510.8817186421657	0	1
neg	510.9744520662325	510.9747075534586	1	0
neg	511.12572285321943	511.1259784160809	0	1
pos	511.15051304574087	511.15076862099744	1	0
pos	511.1655922045245	511.1658477873206	1	0
pos	511.1658477873206	511.16610337024457	1	0
pos	511.69134049026616	511.6915963359364	1	0
neg	512.1410587303344	512.1413148008638	0	1
neg	512.1623130199845	512.162569101141	1	0
pos	512.2178856318214	512.2181417407643	1	0
pos	512.2537421298196	512.2539982566907	1	0
neg	512.2721835918729	512.2724397279648	1	0
pos	512.2983101329296	512.2985662820847	2	0
pos	512.2985662820847	512.2988224313679	0	1
pos	512.2988224313679	512.2990785807791	0	1
neg	512.2998470297814	512.3001031797049	0	1
neg	512.3001031797049	512.3003593297566	1	1
neg	512.3003593297566	512.3006154799363	1	1
pos	512.3234133588777	512.3236695205844	1	0
pos	512.3236695205844	512.3239256824193	1	0
pos	512.3344284279243	512.3346845951386	3	1
pos	512.3346845951386	512.3349407624809	2	2
pos	512.3349407624809	512.3351969299513	1	0
pos	512.3357092652764	512.335965433131	0	1
pos	512.3362216011138	512.3364777692246	1	0
pos	512.3416011583391	512.3418573291398	1	0
pos	512.4586845612189	512.4589407905612	1	0
pos	512.4697025386268	512.4699587734782	1	0
neg	512.6611456744731	512.6614020050459	1	0
neg	512.6614020050459	512.661658335747	0	1
pos	512.8754827731431	512.8757392108845	0	1
pos	513.095810049839	513.0960665977441	0	1
neg	513.1825305477447	513.18278713901	1	0
pos	513.3051957998102	513.3054524524082	0	1
pos	513.305965757989	513.3062224109719	0	1
pos	513.3075056778114	513.3077623315643	0	1
neg	513.3075056778114	513.3077623315643	1	0
neg	513.3090456022536	513.3093022567764	0	1
neg	513.3095589114275	513.309815566207	1	0
neg	513.3349683571232	513.3352250246074	1	0
pos	513.3429251088094	513.343181780272	1	0
pos	513.4158249617273	513.4160816696398	1	0
neg	514.1335679165917	514.1338249833757	1	0
neg	514.1901257055525	514.1903828006155	1	0
neg	514.271117008012	514.2713741435705	1	0
neg	514.2713741435705	514.2716312792576	0	1
pos	514.2906596768837	514.2909168222136	0	1
neg	514.3156033725252	514.3158605303269	1	0
pos	514.6170805649629	514.6173378735032	1	0
pos	514.6582515679394	514.6585088970652	0	1
neg	514.6582515679394	514.6585088970652	1	0
neg	514.6585088970652	514.6587662263197	0	1
pos	514.7490967434939	514.7493541180422	0	1
pos	514.8752256908477	514.8754831284606	1	0
pos	514.8906721754549	514.8909296207911	1	0
neg	514.9179620974381	514.9182195564192	1	0
neg	515.0582963267157	515.0585538558638	0	1
pos	515.0685975930805	515.0688551273794	1	0
pos	515.0688551273794	515.069112661807	0	1
pos	515.0910035588037	515.0912611043054	1	0
neg	515.162348585499	515.1626061666733	1	0
pos	515.2084576675271	515.208715271756	0	1
pos	515.208715271756	515.2089728761136	1	0
pos	515.2092304806001	515.2094880852154	1	0
pos	515.276727293872	515.2769849322357	0	1
neg	515.2772425707282	515.2775002093495	1	0
pos	515.3200123460963	515.3202700061025	1	0
pos	515.3213006474157	515.3215583080661	2	5
pos	515.3215583080661	515.3218159688453	1	2
pos	515.3220736297533	515.3223312907901	1	0
pos	515.3231042746737	515.3233619362259	0	1
neg	515.3236195979068	515.3238772597167	1	0
neg	515.3238772597167	515.3241349216554	1	0
neg	515.3241349216554	515.3243925837229	1	2
pos	515.3413985650262	515.3416562357255	1	0
pos	515.3421715775107	515.3424292485965	1	1
pos	515.3589204660701	515.3591781455303	1	0
pos	515.3594358251195	515.3596935048374	1	0
pos	515.370258484205	515.3705161693343	1	0
pos	515.449631595752	515.4498893205678	1	0
pos	515.4895804802193	515.4898382250095	1	0
pos	515.4926734262082	515.4929311725449	1	0
pos	515.8438434088765	515.8441013307983	1	0
pos	515.8464226338972	515.8466805571086	1	0
pos	515.8603506718559	515.8606086020313	1	0
pos	516.0773155087618	516.0775735474195	1	0
pos	516.1297000016652	516.1299580665153	0	1
pos	516.1544748156648	516.1547328929022	0	1
neg	516.1624752700291	516.1627333512668	1	0
neg	516.1632495141292	516.163507595754	0	1
neg	516.1934459399176	516.1937040366406	1	0
neg	516.2868853863005	516.2871435297432	1	0
pos	516.2951460404878	516.2954041880608	0	1
pos	516.3067628090591	516.3070209624406	1	0
pos	516.3395493212663	516.339807491041	1	0
pos	516.345487258743	516.3457454314866	1	0
pos	516.3506507381428	516.3509089134682	0	1
pos	516.3542652044455	516.3545233815781	1	0
pos	516.3904112590751	516.3906694542808	1	0
pos	516.4056449970975	516.4059031999201	1	0
pos	516.4268180572968	516.4270762707059	1	0
neg	516.6094071625811	516.6096654672847	0	1
neg	516.7287576902697	516.7290160546486	1	0
pos	516.7445181537873	516.7447765260465	0	1
pos	516.7951615854005	516.7954199829813	1	0
pos	516.8473605196803	516.8476189433605	0	1
neg	516.897238684091	516.8974971327104	1	0
neg	516.8974971327104	516.897755581459	0	1
pos	516.9701263149913	516.9703848000545	0	1
pos	516.9711602560195	516.9714187415997	1	0
pos	516.9721941991157	516.9724526852128	1	0
pos	516.9734866308938	516.9737451176372	0	1
